Pos,ReservNr,Bedarfsmenge,BME,Material,BedTermin,BME.1,Gel,KdA-Pos,Auftrag,Angel.am,Uhrzeit
159,3289862,1,ST,25b848c28035d21322657ea7e8518966,19.09.24,ST,,0,4061994,21.06.24,14:30:33
83,3287349,1,ST,9cc7482de525b9c53925acfafb213394,25.09.24,ST,X,0,4061920,21.06.24,14:31:24
84,3287349,2,ST,0f35c0d0c91d7a2aef10b549d7b4d543,25.09.24,ST,,0,4061920,21.06.24,14:31:25
85,3287349,2,ST,0fe99e1aeda508143412d268a3dbec42,25.09.24,ST,,0,4061920,21.06.24,14:31:25
86,3287349,1,ST,df51b8baf9ce664eee0e8f98b597c69e,25.09.24,ST,,0,4061920,21.06.24,14:31:25
87,3287349,1,ST,0fec28a07a4f511d4f3f804f88baa5c7,25.09.24,ST,,0,4061920,21.06.24,14:31:25
88,3287349,1,ST,9cc7482de525b9c53925acfafb213394,25.09.24,ST,,0,4061920,21.06.24,14:31:25
89,3287349,1,ST,866bb5776ad1f568c28e9bcc7baa8cad,25.09.24,ST,X,0,4061920,21.06.24,14:31:25
90,3287349,1,ST,df1b426ecaae11331a75cfb239f00aa1,25.09.24,ST,,0,4061920,21.06.24,14:31:26
91,3287349,1,ST,a57cfd70cfabf90e03b530feb14e20c9,25.09.24,ST,,0,4061920,21.06.24,14:31:26
92,3287349,1,ST,866bb5776ad1f568c28e9bcc7baa8cad,25.09.24,ST,,0,4061920,21.06.24,14:31:26
3975,3055207,2,ST,ce327d90a3c0b1e3f8ffa4fc353bba88,21.06.24,ST,,0,4054938,21.06.24,11:33:04
3322,3055685,2,ST,ce327d90a3c0b1e3f8ffa4fc353bba88,21.06.24,ST,,0,4054984,21.06.24,11:34:41
195,2984094,1,ST,1296f0143f3db25a0a16f7e9c387746c,21.06.24,ST,,0,4052798,21.06.24,11:27:57
775,3177725,"          40,00",M,8f565cf6fe719dd954f91ba42c51fa6a,08.07.24,M,,0,4058614,21.06.24,13:34:58
776,3177725,"           8,00",M,ff4b913fe880697ab00dda9b7ce69368,08.07.24,M,,0,4058614,21.06.24,13:34:58
777,3177725,"           8,00",M,ff4b913fe880697ab00dda9b7ce69368,08.07.24,M,,0,4058614,21.06.24,13:34:58
778,3177725,"          11,00",M,ff4b913fe880697ab00dda9b7ce69368,08.07.24,M,,0,4058614,21.06.24,13:34:59
779,3177725,"          11,00",M,ff4b913fe880697ab00dda9b7ce69368,08.07.24,M,,0,4058614,21.06.24,13:34:59
780,3177725,"          10,00",M,ff4b913fe880697ab00dda9b7ce69368,08.07.24,M,,0,4058614,21.06.24,13:34:59
3531,3222120,1,ST,5d6d61168d2fcf2df013b52bd6ada63d,03.08.24,ST,X,0,4059936,21.06.24,13:38:08
3536,3222120,4,ST,09588fe3cf97d972bbb22a4a2799517a,03.08.24,ST,,0,4059936,21.06.24,13:38:09
3544,3222120,1,ST,5d6d61168d2fcf2df013b52bd6ada63d,03.08.24,ST,,0,4059936,21.06.24,13:38:09
3545,3222120,1,ST,ba3f64f9b84e58115c56035b373a585a,03.08.24,ST,X,0,4059936,21.06.24,13:38:10
3550,3222120,8,ST,09588fe3cf97d972bbb22a4a2799517a,03.08.24,ST,,0,4059936,21.06.24,13:38:10
3560,3222120,1,ST,ba3f64f9b84e58115c56035b373a585a,03.08.24,ST,,0,4059936,21.06.24,13:38:10
591,3280112,1,ST,afbefc9ce34dd071ba55285854fc019d,23.08.24,ST,,0,4061697,21.06.24,13:44:24
1,3289272,1,ST,1bee24ddd92dc31abd044d699b79aac6,21.08.24,ST,X,0,4061972,21.06.24,13:57:44
2,3289272,1,ST,5a56826753906f65f9c925f25624357b,21.08.24,ST,,0,4061972,21.06.24,13:57:53
3,3289272,1,ST,1bee24ddd92dc31abd044d699b79aac6,21.08.24,ST,,0,4061972,21.06.24,13:57:53
2273,3201295,16,ST,3b6fe944231d5478c7d1fedeb4e62d24,21.06.24,ST,,0,4059346,21.06.24,09:35:24
4701,3272506,4,ST,7e670bd41832e98ce45532d363466dfc,21.06.24,ST,,0,4061452,21.06.24,09:33:50
4703,3272506,50,ST,1dca41e3a4f57639dddf4b5a5e1a0fbe,21.06.24,ST,,0,4061452,21.06.24,11:59:46
16,3266019,2,ST,110b0661ffe761fc88abef81d9a1c5a6,21.06.24,ST,,0,4061298,21.06.24,12:06:01
17,3266019,1,ST,6a2f738dbeda09432f4ee4a31c434f19,21.06.24,ST,,0,4061298,21.06.24,12:06:02
4651,3179905,2,ST,13f895a92ba95478cc80a856d139b86d,21.06.24,ST,,0,4058724,21.06.24,11:59:30
4633,3183417,1,ST,60a298b8bfd11e4161a36f1ba86defe1,21.06.24,ST,,0,4058859,21.06.24,12:12:16
4634,3183417,1,ST,f7026d141f81b5a7ba093a00a1fc1ef2,21.06.24,ST,,0,4058859,21.06.24,12:12:17
3827,3007651,1,ST,c8b7dad7b7117ce68b009ae70838fa42,12.07.24,ST,,0,4053490,21.06.24,13:17:33
3829,3007651,1,ST,c8b7dad7b7117ce68b009ae70838fa42,12.07.24,ST,,0,4053490,21.06.24,13:17:33
3831,3007651,1,ST,c8b7dad7b7117ce68b009ae70838fa42,12.07.24,ST,,0,4053490,21.06.24,13:17:34
3833,3007651,1,ST,c8b7dad7b7117ce68b009ae70838fa42,12.07.24,ST,,0,4053490,21.06.24,13:17:34
3835,3007651,1,ST,c8b7dad7b7117ce68b009ae70838fa42,12.07.24,ST,,0,4053490,21.06.24,13:17:34
3837,3007651,1,ST,c8b7dad7b7117ce68b009ae70838fa42,12.07.24,ST,,0,4053490,21.06.24,13:17:35
3839,3007651,2,ST,c8b7dad7b7117ce68b009ae70838fa42,12.07.24,ST,,0,4053490,21.06.24,13:17:36
727,3247227,1,ST,aeab23711886bd66e0d2a400cdbc156d,18.07.24,ST,X,0,4060619,21.06.24,13:23:13
730,3247227,1,ST,dc3400c362a7a976ddab6010d550668c,18.07.24,ST,X,0,4060619,21.06.24,13:23:14
4676,3272506,1,ST,09c3fb7bf36451c4fd806d8f8f0bf157,30.08.24,ST,X,0,4061452,21.06.24,07:08:34
2377,3054805,1,ST,6124ded6e85f27531bd9d7e906e2d5c9,08.07.24,ST,X,0,4054908,21.06.24,13:24:44
332,3179643,1,ST,1c1d3616c10b2802ac7d64a33a2b7ddb,03.07.24,ST,X,0,4058709,21.06.24,13:25:19
335,3179643,1,ST,1c1d3616c10b2802ac7d64a33a2b7ddb,03.07.24,ST,,0,4058709,21.06.24,13:25:38
2935,2959203,2,ST,2c9226997d02a87502db85d5ddd992dd,21.06.24,ST,,0,4052148,21.06.24,06:45:21
2936,2959203,2,ST,e37b0c564d639fcc3c468d081cca83ce,21.06.24,ST,,0,4052148,21.06.24,06:45:35
4545,3174578,3,MM,69b8f5a31807b5cc855189d16c929e93,21.06.24,MM,,0,4058495,21.06.24,11:22:34
4702,3272506,3,ST,0e4a50f50e0816c68d4da79eee95097d,21.06.24,ST,,0,4061452,21.06.24,11:10:10
618,3289800,1,ST,8e130c4e0d6c67824231a78acf362677,06.09.24,ST,X,0,4061992,21.06.24,14:52:37
619,3289800,1,ST,2ea3d2bfa9475e34280322ed85915f89,06.09.24,ST,,0,4061992,21.06.24,14:52:51
620,3289800,1,ST,dbbf3cf34136de4dd5e222d02d84a12b,06.09.24,ST,,0,4061992,21.06.24,14:52:52
621,3289800,1,ST,e8c13b4b42aef3ae0f6f11585b2f966a,06.09.24,ST,,0,4061992,21.06.24,14:52:52
622,3289800,1,ST,955e95e0fc43861d5fda991bf15ee05f,06.09.24,ST,,0,4061992,21.06.24,14:52:52
623,3289800,3,ST,cf135809e1a4ed50ee45be8fb1333750,06.09.24,ST,,0,4061992,21.06.24,14:52:52
624,3289800,1,ST,8e130c4e0d6c67824231a78acf362677,06.09.24,ST,,0,4061992,21.06.24,14:52:52
1,3298344,1,ST,d3b7a2f1679c6ed4778051b597036473,02.08.24,ST,X,0,4062287,21.06.24,09:36:44
2,3298344,1,ST,91ebe49458bd244075df08c5e1f9eca9,02.08.24,ST,,0,4062287,21.06.24,09:36:56
7,3298344,1,ST,bf33562f7167c0806adbedbf9706d051,02.08.24,ST,,0,4062287,21.06.24,09:36:57
12,3298344,3,ST,5402543ebebacaebfa27f24dc3f5acda,02.08.24,ST,,0,4062287,21.06.24,09:36:58
16,3298344,1,ST,b32221afceb0bb83fa0ce3c7b9cb7b31,02.08.24,ST,,0,4062287,21.06.24,09:36:59
21,3298344,1,ST,b28ae30e5c9ecf8fd6ca6c4ef7d0632a,02.08.24,ST,,0,4062287,21.06.24,09:37:00
