Pos,ReservNr,Bedarfsmenge,BME,Material,BedTermin,BME.1,Gel,KdA-Pos,Auftrag,Angel.am,Uhrzeit
1539,3161487,1,ST,3fc63a2a4fbdc20e1d56215df7ac912c,15.08.24,ST,X,0,4058063,2024-06-20,11:01:05
1544,3161487,1,ST,2170f96c40cf272e8f563a0e6ff160c9,15.08.24,ST,X,0,4058063,2024-06-20,11:01:05
1549,3161487,1,ST,3408c0313f222f79e039783db7f46dc9,15.08.24,ST,X,0,4058063,2024-06-20,11:01:06
1554,3161487,1,ST,2f57b62721b2b11beaa0ec5d39878fc1,15.08.24,ST,X,0,4058063,2024-06-20,11:01:07
1559,3161487,1,ST,60725bf85e454a7331140189b8dc7427,15.08.24,ST,X,0,4058063,2024-06-20,11:01:08
1564,3161487,1,ST,a77d5bd45af8b499c7a4d241a9c87dc4,15.08.24,ST,X,0,4058063,2024-06-20,11:03:32
1568,3161487,1,ST,902ef6c61549bc519c150df3cefbd212,15.08.24,ST,X,0,4058063,2024-06-20,11:03:33
1572,3161487,1,ST,612dacfdedb9a988659ede81acc1e120,15.08.24,ST,X,0,4058063,2024-06-20,11:03:34
1576,3161487,1,ST,421311a852f636f439d359ba68f011f4,15.08.24,ST,X,0,4058063,2024-06-20,11:03:35
1583,3161487,1,ST,06c544090839b9b9135b8e4f96a78b3c,15.08.24,ST,X,0,4058063,2024-06-20,11:03:36
1596,3161487,1,ST,2f396a7d6225746e62f17f72b6de4bff,15.08.24,ST,X,0,4058063,2024-06-20,11:08:11
1603,3161487,1,ST,fe28436564a7437d2e9ab78c829d7b45,15.08.24,ST,X,0,4058063,2024-06-20,11:08:12
1607,3161487,1,ST,79c97cf1150c34409cd30b68a5d87650,15.08.24,ST,X,0,4058063,2024-06-20,11:08:13
1613,3161487,1,ST,4fb1888613e6651bae2bbe016271bfcc,15.08.24,ST,X,0,4058063,2024-06-20,11:08:14
1617,3161487,1,ST,87ee87c2c4f749a662752570e4230b15,15.08.24,ST,X,0,4058063,2024-06-20,11:08:14
1625,3161487,1,ST,e9f924012a39a129365b0e0e3803ef47,15.08.24,ST,X,0,4058063,2024-06-20,11:08:16
1628,3161487,1,ST,ee43fdb7853a82d76965c65e0d7498b9,15.08.24,ST,X,0,4058063,2024-06-20,11:09:27
1641,3161487,1,ST,f73830a494803fe9ee91a0805b4f2c71,15.08.24,ST,X,0,4058063,2024-06-20,11:09:28
